区域,小区名称,户型,面积(㎡),价格(元/月)
东城,万国城MOMA,1室0厅,59.11平米,10000
东城,北官厅胡同2号院,3室0厅,56.92平米,6000
东城,和平里三区,1室1厅,40.57平米,6900
东城,菊儿胡同,2室1厅,57.09平米,8000
东城,交道口北二条35号院,1室1厅,42.67平米,5500
东城,西营房,2室1厅,54.48平米,7200
东城,地坛北门,1室1厅,33.76平米,6000
东城,安外东河沿,1室1厅,37.62平米,5600
东城,清水苑,1室1厅,45.61平米,6200
东城,李村东里,2室1厅,57.35平米,5700
东城,幸福北里,2室1厅,51.15平米,6500
东城,保利蔷薇,2室1厅,97.11平米,10000
东城,东板桥西巷,2室1厅,52.86平米,5800
东城,本家润园三期,2室1厅,63.09平米,7800
东城,营房西街,2室1厅,62.95平米,7500
东城,新景家园西区,1室1厅,57.24平米,7500
东城,东花市北里东区,2室1厅,85.36平米,8800
东城,幸福家园一期,5室2厅,226.86平米,29000
东城,景泰西里西区,1室1厅,60.3平米,6200
东城,海晟名苑北区,1室1厅,70.86平米,12000
东城,和平新城一期,2室1厅,122.76平米,14500
东城,太华公寓,2室2厅,152.24平米,17000
东城,官书院,2室1厅,92.01平米,16000
东城,幸福家园二期,2室1厅,65.25平米,7800
东城,安外大街3号院,1室1厅,33.77平米,5500
东城,中海紫御公馆,2室2厅,90.15平米,13000
东城,海晟名苑北区,1室0厅,45.62平米,9000
东城,凯景铭座,3室1厅,156.2平米,16000
东城,永定门东街西里,2室1厅,53.26平米,5000
东城,西青年沟,2室1厅,51.88平米,7300
东城,自由季,2房间1卫,51.49平米,5800
东城,灯笼库胡同,2室1厅,65.41平米,9300
东城,和平里六区,2室1厅,67.6平米,8000
东城,北新桥头条,2室1厅,50.23平米,7500
东城,贡院头条,4室1厅,79.15平米,15000
东城,安贞苑50号院,2室1厅,65.82平米,6900
东城,金鱼池东区,2室1厅,66.46平米,6000
东城,沙井胡同,2室1厅,25.15平米,7900
东城,沙井胡同,1室1厅,12.3平米,4200
东城,凯德华玺,2房间1卫,73.86平米,13000
东城,望陶园小区,2室2厅,89.66平米,8000
东城,当代MOMA,1室1厅,105.68平米,25000
东城,交道口东大街,3室1厅,93.28平米,10500
东城,长安太和,1室1厅,105.21平米,25000
东城,交林,2室1厅,55.46平米,8300
东城,金世纪嘉园,1室1厅,68.62平米,7000
东城,万国城MOMA,3室2厅,246.19平米,40000
东城,交道口东大街,1室1厅,62.42平米,8400
东城,国瑞城西区,1室0厅,61.98平米,11500
东城,万国城MOMA,2室1厅,115.64平米,20000
东城,华龙美晟,2室1厅,80.59平米,7000
东城,六铺炕,2室1厅,58.28平米,8000
东城,绿景苑,1室1厅,62.71平米,6800
东城,太华公寓,1室1厅,107.22平米,12500
东城,香河园街,1室1厅,43.52平米,6300
东城,崇文门东大街,2室1厅,61.09平米,6800
东城,绿景馨园,2室1厅,85.23平米,8500
东城,国瑞城西区,2室1厅,106.42平米,18000
东城,万国城MOMA,2室1厅,127.31平米,18000
东城,兴隆都市馨园,1室1厅,93.49平米,15000
东城,青年湖东里,1室1厅,46.22平米,6800
东城,花市东三条,2室1厅,54.94平米,6500
东城,当代MOMA,2室2厅,151.51平米,28000
东城,左安浦园,2室1厅,64.91平米,6500
东城,景泰东里,1室1厅,51.73平米,4700
东城,金鱼池东区,2室1厅,66.46平米,6000
东城,凯德华玺,2房间1卫,73.86平米,13000
东城,沙井胡同,2室1厅,25.15平米,7900
东城,沙井胡同,1室1厅,12.3平米,4200
东城,安贞苑50号院,2室1厅,65.82平米,6900
东城,太华公寓,1室1厅,107.22平米,12500
东城,香河园街,1室1厅,43.52平米,6300
东城,兴隆都市馨园,1室0厅,40.92平米,6500
东城,万国城MOMA,2室1厅,127.31平米,18000
东城,国瑞城西区,2室1厅,106.42平米,18000
